Namn;pgkod;persnr;Namn;meritp;Namn ;Kurskod;HP;Obligatorisk;betyg
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Epidemiometri;HSTD54;5;0;VG
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Data Mining;HSTC22;5;0;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Databaser: Design och programmering;HIBB31;5;1;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Diskret matematik och logik;HMAA61;5;1;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Javaprogrammering;HIBB20;5;1;VG
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Surveymetodik med uppsats;HSTB21;10;1;U
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Multivariata metoder;HSTC04;5;0;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Statistisk teori I;HSTC20;5;0;VG
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Envariabelanalys för statistiker;HMAA54;10;1;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Grunder i statistisk metodik;HSTA76;10;1;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Sambandsmodeller;HSTB20;10;1;VG
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Vetenskapsfilosofi;HVTA52;5;0;G
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Statistisk analys av samhällsdata;HSTA21;10;1;VG
Statistik och dataanalys;LIU50007;1755132793;Adam Kelbe;17.65;Linjär algebra;HMAA20;5;1;G
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Epidemiometri;HSTD54;5;0;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Data Mining;HSTC22;5;0;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Databaser: Design och programmering;HIBB31;5;1;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Programmering 1;HIBA20;5;1;G
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Diskret matematik och logik;HMAA61;5;1;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Javaprogrammering;HIBB20;5;1;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Surveymetodik med uppsats;HSTB21;10;1;VG
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Multivariata metoder;HSTC04;5;0;U
Statistik och dataanalys;LIU50007;9370186127;Verge Hrubik;11.47;Statistisk teori I;HSTC20;5;0;U
